HCAT3_name,HCAT3_code,HCAT_name,HCAT_code
melilot,3301090304,plants_harvested_green,33111000
vetches,3301090305,plants_harvested_green,33111000
green_silo_maize,3301090400,plants_harvested_green,33111000
other_plants_harvested_green,3301099900,other_plants_harvested_green,33111020
arable_land_seed_seedlings,3301100000,arable_land_seed_and_seedlings,33112000
fallow_land_not_crop,3301110000,fallow_land_not_crop,33114000
kitchen_gardens,3301120000,kitchen_gardens,33115000
strawberries,3301130000,arable_crops,33100000
cucurbits,3301140000,cucurbits,33109000
cucumber_pickle,3301140100,cucurbits,33109000
honeydew,3301140200,cucurbits,33109000
melon,3301140300,cucurbits,33109000
pumpkin_squash_gourd,3301140400,cucurbits,33109000
watermelon,3301140500,cucurbits,33109000
zucchini_courgette,3301140600,cucurbits,33109000
pseudocereal,3301150000,arable_crops,33100000
amaranth,3301150100,arable_crops,33100000
buckwheat,3301150200,arable_crops,33100000
quinoa,3301150300,arable_crops,33100000
soy_soybeans,3301160000,arable_crops,33100000
fennel,3301170000,arable_crops,33100000
topinambur_jerusalem_artichoke,3301180000,arable_crops,33100000
sage_chia,3301190000,arable_crops,33100000
asparagus,3301200000,arable_crops,33100000
brassicaceae_cruciferae,3301210000,arable_crops,33100000
mustard,3301210100,fodder_roots_brassicas,33105000
brassica_oleracea_cabbage,3301210200,fodder_roots_brassicas,33105000
bok_choy_pak_choi,3301210201,arable_crops,33010000
broccoli,3301210202,arable_crops,33010000
brussels_sprouts,3301210203,arable_crops,33010000
cauliflower,3301210204,arable_crops,33010000
chinese_cabbage,3301210205,arable_crops,33100000
collard_greens,3301210206,arable_crops,33100000
gai_lan,3301210207,arable_crops,33100000
kale,3301210208,arable_crops,33100000
kohlrabi,3301210209,arable_crops,33100000
red_cabbage,3301210210,arable_crops,33100000
savoy_cabbage,3301210211,arable_crops,33100000
white_cabbage,3301210212,arable_crops,33100000
cress,3301210300,fodder_roots_brassicas,33105000
horseradish,3301210400,fodder_roots_brassicas,33105000
swede_rutabaga,3301210500,fodder_roots_brassicas,33105000
alliums,3301220000,arable_crops,33100000
chives,3301220100,arable_crops,33100000
garlic,3301220200,arable_crops,33100000
leek,3301220300,arable_crops,33100000
onions,3301220400,arable_crops,33100000
scallion,3301220500,arable_crops,33100000
shallot,3301220600,arable_crops,33100000
rhubarb,3301230000,arable_crops,33100000
purslane,3301240000,arable_crops,33100000
celery,3301250000,arable_crops,33100000
celeriac,3301250100,arable_crops,39100000
leaf_celery,3301250200,arable_crops,40100000
aubergine_eggplant,3301260000,arable_crops,33100000
artichoke,3301270000,arable_crops,33100000
tomato,3301280000,arable_crops,33100000
root_vegetables,3301290000,arable_crops,33100000
arctium_burdock,3301290100,arable_crops,41100000
beetroot_beets,3301290200,arable_crops,42100000
carrots_daucus,3301290300,arable_crops,43100000
mangelwurzel_fodder_beet,3301290400,arable_crops,44100000
parsnips,3301290500,arable_crops,45100000
radish,3301290600,arable_crops,46100000
sugar_beet,3301290700,arable_crops,47100000
turnips,3301290800,arable_crops,48100000
capsicum,3301300000,arable_crops,33100000
bell_pepper_paprika,3301300100,arable_crops,33100000
chili_pepper,3301300200,arable_crops,33100000
salads_lettuce_leaf_vegetables,3301310000,arable_crops,33100000
chard,3301310100,arable_crops,33100000
chicory_chicories,3301310200,arable_crops,33100000
endive,3301310300,arable_crops,33100000
iceberg,3301310400,arable_crops,33100000
lambs_lettuce_rapunzel,3301310500,arable_crops,33100000
rocket_arugula,3301310600,arable_crops,33100000
sorrel,3301310700,arable_crops,33100000
spinach,3301310800,arable_crops,33100000
other_arable_land_crops,3301990000,arable_crops,33100000
pasture_meadow_grassland_grass,3302000000,peasture_meadow,33200000
permanent_crops_perennial,3303000000,permanent_crops,33300000
orchards_fruits,3303010000,fruit_and_berry_plantations,33301000
amelanchier_serviceberry,3303010100,fruit_of_temperate_climate_zones,33031010
apples,3303010200,fruit_of_temperate_climate_zones,33031010
apricots,3303010300,fruit_of_temperate_climate_zones,33031010
cherry_cherries,3303010400,fruit_of_temperate_climate_zones,33031010
feijoa,3303010500,fruit_of_temperate_climate_zones,33031010
fig,3303010600,fruit_of_temperate_climate_zones,33031010
kiwi,3303010700,fruit_of_temperate_climate_zones,33031010
medlar_loquat,3303010800,fruit_of_temperate_climate_zones,33031010
nectarine,3303010900,fruit_of_temperate_climate_zones,33031010
pawpaw,3303011000,fruit_of_temperate_climate_zones,33031010
peach,3303011100,fruit_of_temperate_climate_zones,33031010
pears,3303011200,fruit_of_temperate_climate_zones,33031010
plums,3303011300,fruit_of_temperate_climate_zones,33031010
pomegranate,3303011400,fruit_of_temperate_climate_zones,33031010
quinces,3303011500,fruit_of_temperate_climate_zones,33031010
berries_berry_species,3303020000,berry_species,33301030
aronia_chokeberries,3303020100,berry_species,33301030
blackberry,3303020200,berry_species,33301030
blackcurrant_cassis,3303020300,berry_species,33301030
blueberry,3303020400,berry_species,33301030
cranberry,3303020500,berry_species,33301030
currants,3303020600,berry_species,33301030
gooseberry_gooseberries_cranberries,3303020700,berry_species,33301030
hippophae_sea_buckthorns_seaberry,3303020800,berry_species,33301030
jostaberry,3303020900,berry_species,33301030
raspberry_raspberries,3303021000,berry_species,33301030
redcurrant,3303021100,berry_species,33301030
rose_hip_rosehip,3303021200,berry_species,33301030
rowan_rowanberries,3303021300,berry_species,33301030
tayberry,3303021400,berry_species,33301030
nuts,3303030000,nuts,33301040
almond,3303030100,nuts,33301040
hazelnuts_hazel,3303030200,nuts,33301040
pecan,3303030300,nuts,33301040
pistachio,3303030400,nuts,33301040
sweet_chestnuts,3303030500,nuts,33301040
walnuts,3303030600,nuts,33301040
citrus_plantations,3303040000,citrus_plantations,33302000
olive_plantations,3303050000,olive_plantations,33303000
olives_for_oil_production,3303050100,olives_for_oil_production,33303020
table_olives,3303050200,table_olives,33303010
vineyards_wine_vine_rebland_grapes,3303060000,vineyards,33304000
nurseries_nursery,3303070000,nursereis,33305000
shrubberries_shrubs,3303080000,permanent_crops,33300000
azaleas,3303080100,permanent_crops,33300000
chaenomeles_cathayensis,3303080200,permanent_crops,33300000
crataegus_hawthorn,3303080300,permanent_crops,33300000
elder_elderberry,3303080400,permanent_crops,33300000
honeysuckle,3303080500,permanent_crops,33300000
ricinus_castor,3303080600,permanent_crops,33300000
wire_bush,3303080700,permanent_crops,33300000
ginko,3303090000,permanent_crops,33300000
avocado,3303100000,permanent_crops,33300000
legumes_from_trees,3303110000,permanent_crops,33300000
carob,3303110100,permanent_crops,33300000
mesquite,3303110200,permanent_crops,33300000
tamarind,3303110300,permanent_crops,33300000
unspecified_permanent_crops,3303120000,other_permanent_crops,33306000
other_permanent_crops_plantations,3303990000,other_permanent_crops,33306000
mushrooms_energy_genetically_modified_crops,3304000000,mushrooms_energy_crops_genetically_modified_crops,33400000
energy_crops,3304010000,energy_crops,33402000
genetically_modified_crops,3304020000,genetically_modified_crops,33403000
igniscum_candy,3304020100,energy_crops,33402000
sida_virginia_mallow,3304030000,mushrooms_energy_crops_genetically_modified_crops,33400000
truffle,3304040000,mushrooms_energy_crops_genetically_modified_crops,33400000
other_mushrooms_energy_crops_genetically_modified_crops,3304990000,mushrooms_energy_crops_and_genetically_modified_crops,33401000
greenhouse_foil_film,3305000000,greenhouse_under_foil,33600000
tree_wood_forest,3306000000,crop_type,33000000
afforestation_reforestation,3306010000,others,26700000
aspen,3306020000,others,27700000
birch,3306030000,others,28700000
dogwood_cornus,3306040000,others,29700000
eucalyptus,3306050000,others,30700000
oak,3306060000,others,31700000
populus,3306070000,others,32700000
willows_osiers,3306080000,others,33700000
peat_turf,3307000000,crop_type,33000000
unmaintained,3308000000,crop_type,33000000
not_known_and_other,3399000000,others,33700000
